true_sentiment,ticker,paraphrased_array
Neutral,EURUSD,. eurusd fell in late trading yet recorded 061 gains for the week.
Neutral,AUDUSD,. audud remains sideways around 06660 during extended weekend china inflation..
Neutral,EURUSD,. eurust stays operational around 10900 despite hawkish ec - us inflation fed minutes..
Negative,GBPUSD,. gbpusd price analysis 12400 cushion looks fragile amid geopolitical..
Negative,AUDUSD,. audusd price analysis to bounce off 618 fibonacci retracement below 06700.
Positive,USDJPY,..jpy drives to 13250 as us employment data supports more rate hikes from..
Neutral,EURUSD,..dis.. to justify its options market signals near n..
Negative,GBPUSD,. gbfrd surrenders gains as usd index extends recovery ahead of us..
Neutral,USDJPY,. japan's matsuno boj will implement appropriate monetary policy in collaboration with..
Positive,USDJPY,. usdjpy price analysis bulls eye another battle with 50dma hurdle over 133..
Negative,EURUSD,. eurusd drops below p00 as investors turn cautious ahead of us..
Negative,GBPUSD,. gbfod extends four day downtrend to 12400 despite easter on..
Neutral,AUDUSD,. thedsd cls to modest losses below x700 as chinainflicted risk aversion fades amid theiquid markets.
Neutral,EURUSD,. eurusd price analysis 10dma prods intraday sellers 10850 is the last defense for bulls.
Positive,USDJPY,..jpy trims a part of intra day gains to four day high holds above n00..
Neutral,GBPUSD,. gbpd sticks to modest intraday gains above s00 lacks clockthrou..
Neutral,USDJPY,.. boj governor ueda discussed the need to guide policy flexibly given economic..
Positive,AUDUSD,. audsd recovers further from twoweek low climbs to 0667580 area amid softer..
Neutral,USDJPY,. bojs ueda boj has task of making various efforts to sustain monetary..
Positive,USDJPY,. bojs ueda want to avoid sudden normalisation in policy.
Negative,EURUSD,. eurusd tilts more to the downside in early us..
Negative,EURUSD,. eurusd drops to oneweek low close to mid0800s with peak usd..
Neutral,USDJPY,..jpy runs higher in early us trading. what next for the pair?.
Positive,USDJPY,. usdjpy gains up to 100 dma barrier in mid13300s amid broad based usd..
Negative,GBPUSD,. gbpusd outlook : key levels to watch as sellers gain..
Negative,GBPUSD,..pad slides to one week lows near g0 as dollar strengthen..
Neutral,EURUSD,..ps de cos core inflation in eurozone to remain increased.
Neutral,EURUSD,. eurusd stabilizes near mid080s after at peak low.
Negative,AUDUSD,..dusd at pressure around 0664..
Positive,USDJPY,. usdjpy extends above its 100 day moving..
Negative,GBPUSD,. gbpusd runs below 12800 in a slow start to the week.
Negative,AUDUSD,. audusd moves back to retest the low from friday's..
Negative,EURUSD,) forex today us dollar strengthens ahead of us inflation.
Negative,AUDUSD,. audisd grinds lower towards 06600 with firmer us currency risk. position ahead of china..
Positive,EURUSD,..rusd scales above110 ahead of eurozone retail sales and us inflation.
Neutral,GBPUSD,. gbpusd price analysis recovery remains elusive below 12405 immediate..
Neutral,USDJPY,. japan finmin suzuki used to guide fiscal policy by dependent on boj debt..
Neutral,AUDUSD,. audsd price analysis bounces off fort on. support but x700 is the key to..
Positive,USDJPY,. usdj - skids below 13350 upside looks favored as boj supports expansionary..
Neutral,EURUSD,. eurusd price analysis bounces off 1084045 support..
Neutral,AUDUSD,. china's cpi downes to 070y in march vs 10..
Negative,AUDUSD,. aubd drops below 06650 as china's inflation decelerates further to..
Neutral,USDJPY,. warren buffett considering additional investment in japanese stocks. nik..
Positive,AUDUSD,. australia. an agreement with china to settle dispute on..
Positive,USDJPY,..jpy price analysis reverses from three week old horizontal hurdle 200sma towards 133..
Positive,EURUSD,. eurusd. 100000. is market mood ahead of us..
Positive,AUDUSD,. audud looks to regain 06700 as upbeat aussie data barley deal joins us dollar..
Neutral,EURUSD,. eurusd solid support emerges at n m m u..
Negative,GBPUSD,. gbpusd faces further consolidation in termite u..
Positive,EURUSD,..rusd rebound aims for 10930 as us dollar tracks fall in treasury bond..
Positive,GBPUSD,. gbfid trades business to s00 as anxiety among investors ahead of us inflation recedes.
Neutral,USDJPY,. usdjp extra range bound in the pipeline. u..
Neutral,EURUSD,. french finmin le maise * affirms target to lower inflation in 202..
Negative,EURUSD,. a relatively more restrictive fed with a fall in inflation the best situation for usd bulls is bankmerz..
Positive,AUDUSD,. audsd cls to gains near 0667 area amid softer usd. seems..
Neutral,USDJPY,. the only likely to appreciate longterm if there is early move away from current monetary policy. bankmerz..
Positive,EURUSD,. eurusd can edge back up to the 109300 area today...
Negative,USDJPY,..jpy flirts with daily low around 13300 mark amid significant usd..
Neutral,EURUSD,..zone sentix investor confidence index improves to 87 in april vs 99..
Positive,EURUSD,..rusd has bid and gainss the 10900 mark and..
Negative,GBPUSD,. gbpusd may struggle to sustain a break above 125 this quarter...
Negative,EURUSD,..zone retail sales drop 30 yoy in march vs 35..
Negative,AUDUSD,. auvied no confidence for a sustained return over 070 in the short perm. soc..
Neutral,EURUSD,. current cee fx rally to start running out of steam...
Neutral,EURUSD,. eurusd the shuffle and subdued volatility until the may ecb and fomc meetings. soc..
Neutral,GBPUSD,. cftc data point towards the market for those who want to buy an unloved currency. soc..
Negative,USDJPY,..j. any perceived weakness on the back of maintaining policy settings unlikely to be sustainable. muf..
Positive,EURUSD,. eurusd a push to quebec remains the objective of scotia..
Positive,EURUSD,. us dollar loses strength ahead of key us cpi data.
Positive,GBPUSD,. gbpusd - uptrend is set to resume at scotia..
Neutral,GBPUSD,. gbmasd easings from daily peak still is bid above n0 amid broad based usd..
Positive,GBPUSD,. gbpusd short coverage and seasonal factors could keep cable in the ascend lead this week. soc..
Positive,EURUSD,. eurusd price analysis next on the upside aligns 1097..
Positive,EURUSD,. eurusd to rise sustainably in h2 - 115 by year....
Neutral,GBPUSD,. the eurusd and the gbpusd move back toward the 100 / 200 hour..
Neutral,GBPUSD,. gbpusd may bounce around in a 120125 range in q 2 -..
Neutral,AUDUSD,. audss holds steady above mid06600s amid high risk to weaker..
Neutral,AUDUSD,..disd reverses the declines from yesterday and runs into a cluster of..
Negative,USDJPY,. usdj projected to drop toward 128 by early june...
Positive,EURUSD,. eurusd extends to the highs for the day.
Positive,EURUSD,. eurusd prints the daily highs but remains limited to 109..
Positive,GBPUSD,. gbpusd bulls hope us prices have an eye break of 12520.
Positive,USDJPY,..jpy bulls take on 13380 resistance ahead of critical us..
Negative,USDJPY,. forex today dollar weakens before key us inflation data.
Positive,EURUSD,. eurusd rebounds from 10900 as investors ignore us inflationinspired..
Neutral,EURUSD,.. bank's ville - eurozone is at risk of getting entrenched.
Neutral,AUDUSD,. audusd struggles at 06650 rba's for us inflation and fed minutes..
Positive,GBPUSD,. gbpad price analysis gathers strength for a breakout of falling channel above 124..
Neutral,EURUSD,. eurusd price analysis grinds higher at p0 within rising..
Positive,USDJPY,..jpy price analysis bulls eye a run to test 13400 with eyes on us..
Positive,AUDUSD,. audsd price analysis breaks above 06660 as usd index continues downide..
Neutral,GBPUSD,. gbpsd stays defensive above 12400 focus on us inflation boe's bailey and fed..
Negative,EURUSD,..fd easings from ck hurdle as fed hawks retreat on inflation..
Positive,GBPUSD,. gbtd price analysis pierces oneweek price performance line in search of fresh 2023..
Positive,USDJPY,..j. refreshs the week high above 13400 as usd index defends 10200 support ahead of us..
Neutral,AUDUSD,.. treasurer. economy will avoid recession but to slow..
Positive,AUDUSD,. audusd marches towards 06700 on economic optimism easy inflation signals from fed..
Neutral,EURUSD,. eurusd further range bound on the cards. u..
Positive,AUDUSD,..a's bullock we would have stopped on rates even without global banking..
Neutral,GBPUSD,. gbpusd clings to the nearterm consolida - phase of u..
Positive,EURUSD,. eurusd refreshes day's high above 10930 as usd index eyes further correction us inflation..
Positive,USDJPY,..j's uchida will continue monetary easing in order to achieve price stability target sustainably and stab..
Neutral,USDJPY,..jpy price analysis yen bulls take a breather on their way to 134..
Negative,EURUSD,. strong inflation data should support the dollar but any inflation set to end early. bankmerz!.
Neutral,GBPUSD,. gbpusd strong barrier seen at 125 km..
Neutral,AUDUSD,. audusd has moved into a consolida - phase with u..
Neutral,USDJPY,. usdj. a test of 13440 remains on the cards. u..
Neutral,USDJPY,..j. eases from a day high near 134. awaits us cpi and fomc..
Negative,EURUSD,. eurusd will struggle to sustain a break above 110 this quarter...
Positive,EURUSD,. eurusd extends the annual rebound to 10900 ahead of us..
Negative,GBPUSD,..pusd technical analysis - breakout fails.
Neutral,GBPUSD,. gbpd trades with modest losses around 12400 focus remains on us cpifomc..
Negative,EURUSD,. us cpi a high number risks supporting the dollar into may...
Neutral,EURUSD,. eurusd technical analysis.
Neutral,EURCHF,. eurhf snb wants a 098100 range in term...
Neutral,AUDUSD,. thedusd technical analysis.
Negative,USDJPY,. usdjpy finds sellers near the 200 hour..
Neutral,USDJPY,..jpy technical analysis.
Positive,GBPUSD,. new highs for the gbpus..
Negative,GBPUSD,. key levels tested as gbpusd continues its downward..
Negative,AUDUSD,..dusd move above 100 day ma is short lived.
Negative,AUDUSD,. audusd downside momentum grows as key levels..
Neutral,EURCHF,. fx option expiries for apr 18 ny..
Neutral,EURCHF,..chf trades between hourly mas as buyers and sellers..
Positive,USDJPY,..jpy follows yields higher..
Negative,GBPUSD,. gbpd trades to a new session low. tests. area..
Neutral,AUDUSD,. thedusd technical analysis.
Negative,GBPUSD,. gbpusd faces strong contention around 1225. u..
Neutral,USDJPY,. usdjpy hits fresh multi week high to follow play amid softer risk..
Positive,GBPUSD,. gbpusd sticks to stronger uk cpi led gains modest usd strength caps the..
Positive,EURUSD,. eurusd rebounds into the close.
Neutral,USDJPY,..jpy falls from high above a0 remains firm on dollar yields.
Negative,USDJPY,. usdjb seems fundamentally overvalued. dans dans bank.
Positive,GBPUSD,..pud holds in bullish ground with boe sentiment..
Negative,AUDUSD,. audusd falls from recent highs on riskoff impulse due to fed tightening..
Neutral,EURUSD,. eurusd technical analysis.
Negative,AUDUSD,. auds'outlook is modest a negative. dans dans bank.
Positive,USDJPY,..jpy price analysis bulls move in on 135 the figure.
Negative,GBPUSD,. gbpad price analysis bears are moving in with eyes on 12350..
Neutral,EURUSD,. eurusd tests its 200 hour moving..
Neutral,GBPUSD,. gbpusd turns sideways around 1240 as fedboe watches one more rate..
Negative,AUDUSD,. aucid retreats towards 06700 amid jittery markets australia nab sentiment rba's lowe!.
Neutral,GBPUSD,. gbpusd price analysis cable buyers remain cautious below tested 12470..
Neutral,AUDUSD,..a the the rba review will assist the central bank in dealing with a complex..
Neutral,AUDUSD,. china 15 year rates unchanged as..
Negative,AUDUSD,. audsd drops below 06720 support as softer aussie data supersedes unimpressive results of rba's lowe pbo..
Neutral,GBPUSD,..pusd technical analysis - range..
Positive,USDJPY,..jpy price analysis bulls move in to test bears near 135..
Neutral,AUDUSD,..tr : us trade restrictions on china are narrowly..
Neutral,GBPUSD,. gbpusd holds auction above 1240 amid peak usd index uk retail sales..
Neutral,USDJPY,. boj maintains assessment for seven of japans nine..
Positive,AUDUSD,. audst shows inventory adjustment above 06700 as focus shifts to neust -ian sp pm..
Neutral,USDJPY,. boj open to tweaking ycc this year if wage momentum holds...
Negative,USDJPY,. usdjpy retreats towards 13450 amid slowgish yields. clues from boj..
Negative,GBPUSD,. gbpusd firm support remains at 1220. u..
Positive,USDJPY,. usdjpy now targets the 13575 level at termite u..
Neutral,GBPUSD,. gbxd trades with modest losses below mid12400s downside potential is..
Neutral,GBPUSD,..pad downlash : market upati growth amid strong uk inflation and technical indicators.
Neutral,AUDUSD,.. thec's zou will continue implementing prudent monetary policy.
Positive,EURUSD,. eurusd gainss the impulse and re -gets 1100..
Positive,EURUSD,..'s toncar i dont see an immediate risk to financial..
Neutral,AUDUSD,.. treasury sec yellen calls for constructive and fair us economic ties with china.
Neutral,USDJPY,..jpy consolidates its recent gains to -week high flatlines above mid13400..
Positive,EURUSD,).b accounts large majority agreed with proposal to raise key rates by 50 bp..
Positive,EURUSD,. eurusd price analysis the 2023 high emerging as the big magnet for bulls.
Neutral,AUDUSD,. audusd holds steady above 06700 and remains capped at weaker risk..
Positive,GBPUSD,. gbzd price analysis rises to fresh daily high above mid12400s amid weak..
Negative,USDJPY,..jpya tolters just ahead of the 13500..
Positive,EURUSD,.. catches a bid to trade in upper 109s after unthanexpeted us data.
Positive,AUDUSD,. audsd hits weekly highs at 06770 aussie outperforms.
Positive,EURUSD,. eurusd gains ground as us data sparks recession..
Neutral,USDJPY,..jpy technical analysis.
Negative,GBPUSD,. gbpud bears in the market as profit taking kicks..
Negative,USDJPY,. usdjpy price analysis bears possibility near 13450 for a downside..
Neutral,EURUSD,. forex today mixed markets limit dollar's slide attention turns to global pm..
Positive,AUDUSD,. audusd rebounds from 067m ahead of preliminary australian sp cm..
Neutral,EURUSD,. hrid recovers to near r0 but is in the woods ahead by hawk the beasts..
Negative,GBPUSD,. gbpusd price analysis : - on critical trendline..
Positive,USDJPY,. usdj50 rebounds from 1340 despite japan's inflation accelerate..
Negative,AUDUSD,. audusd price analysis bulls have thrown in the towel.
Neutral,EURUSD,. eurusd moves sideways in consolidaiton with a focus on us..
Neutral,EURUSD,"the eurusd, gbpusd and usdjpy retest mas."
Neutral,AUDUSD,. china's safe forex market stable in q1 cross border flows more..
Neutral,GBPUSD,. gbpusd continues to juggle around 1240 ahead of uk retail..
Neutral,EURUSD,. eurusd price analysis gets set for a volatile action.
Negative,AUDUSD,. audisd drops below 06710 as fed to increase rates despite deeping slowdown..
Negative,GBPUSD,. uk.. drop by 09 mom in march vs 05..
Neutral,USDJPY,. boj financial system report japans financial system has been maintaining stability on the..
Negative,GBPUSD,. gbzd remains depressed postuk retail sales holds above 12400 ahead of pm..
Negative,USDJPY,..jpy drops to four day low flirts with 50day sma around 1330..
Neutral,GBPUSD,. gbpusd is trading within 1234512510. u..
Neutral,AUDUSD,. audud clings to the consolida - phase of u..
Negative,EURUSD,. german preliminary production pmi drops to 440 in april vs 457..
Neutral,EURUSD,..b's de guindos ecb will stick to communicating monetary policy on meeting by meeting..
Negative,EURUSD,..zone preliminary manufacturing pmi falls to 455 in april vs 480..
Positive,USDJPY,. boj expects to maintain dovish policy guidance next week...
Positive,GBPUSD,.. preliminary services pmi - falls to 549 in april.
Positive,AUDUSD,...ding off. breaks above 1000 day..
Negative,EURUSD,. eurusd trades slightly on the defensive by 109..
Positive,USDJPY,. usdjpy remains poised for extra gains near term. uob.
Neutral,EURUSD,.. still trading flat in mid 109s ahead of us pmi data.
Positive,EURUSD,. eurusd looks toward 100 hour..
Neutral,EURUSD,.. are the sp globals in us pmis and how would the data affect eurus?.
Positive,EURUSD,. eurusd price analysis next on the upside of the 2023..
Neutral,GBPUSD,..isd pares intra day losses down a little around 12420 ahead of us pm..
Positive,AUDUSD,. adusd rebounds from daily lows back above p70..
Positive,USDJPY,..jpy jumps to fresh daily peak. mid13400s on upbeat us pmi prints.
Negative,EURUSD,. eurusd drops to 10940 after us pmi data.
Neutral,GBPUSD,". ""e's ramse still signs of stubbornly high inflation at the.."
Neutral,GBPUSD,. gbpusd price analysis doji candlesticks around 12430 flashes lightbe - of indecision.
Positive,USDJPY,) forex today dollar rises soidly on cautious markets.
Positive,EURUSD,. eurusd seen moving into a higher range after breaking 11000 km muf..
Positive,EURUSD,. eurusd holds steady around 10980 as adjusted us pmis ease recession..
Neutral,AUDUSD,. audusd buyers and sellers start to look for a break. here's why..
Negative,AUDUSD,. audusd price analysis is values below 067..
Neutral,USDJPY,. boj plans to examine its policy taken over past..
Neutral,EURUSD,.. said to get ready a ban on many goods passing through russia.
Negative,EURUSD,. eurusd market analysis bears in the market and market break of 1090..
Neutral,GBPUSD,. gbpusd price analysis of dojis indicate indecisiveness.
Negative,AUDUSD,. adsd looks vulnerable below x700 as fed prepares for more rate hike..
Positive,USDJPY,..jpy price analysis bulls seeking a discount.
Negative,EURUSD,).rusd fails to hit 11000 as usd index attempts recovery us durable goods orders in..
Neutral,AUDUSD,. china's premier li highquality economic development is an intrinsic requirement of..
Neutral,USDJPY,..j governor ueda predicts consumer inflation as nearing to peak.
Negative,GBPUSD,. gbpad turns subdued as usd index falls ahead of us durable goods..
Positive,USDJPY,. usdjpy aims to surpass 13450 as boj ueda warns japan cpi peaking..
Positive,EURUSD,.. bank's wunsch central bank to keep raising interest rates unless wage growth slows...
Negative,AUDUSD,. audsi weakens further below 0660 over one day low with modest usd up..
Negative,EURUSD,..rusd price analysis absence of a bully momentum favors a downside..
Neutral,GBPUSD,. gbpusd extra range bound in the pipeline. u..
Neutral,AUDUSD,. audsd outlook remains mixed in the near term. u..
Negative,USDJPY,. usdjpy fading probability of extra gains in uob.
Neutral,EURUSD,. eurusd remains capped by 11000 ahead of key data.
Positive,EURUSD,. euro trades at top of its range after hawkish comments from ecb's wuns..
Negative,GBPUSD,. gbpusd flatlines below mid12400s downside potential is limited.
Neutral,EURUSD,. german ifo business climate index improves to 936 in april vs 94..
Neutral,EURUSD,..o's economist. economy far away from substantial ups..
Positive,USDJPY,..jpy sticks to modest intra day gains just below mid13400s lacks endthrou..
Neutral,EURUSD,..b's villes central banks'core mandate worldwide is price..
Neutral,EURUSD,..b's pan : geopolitics risk persistent inflation volatility.
Neutral,EURUSD,..des bank german economy did better in q1 of 2023 than..
Positive,EURUSD,. eurusd price analysis extra gains target the 11080 region.
Neutral,EURUSD,. us chicago fed national activity index unchanged at 019 in march vs 002..
Positive,EURUSD,..rusd shows resilience : key support levels in..
Neutral,GBPUSD,. gbtd sticks to modest intra day gains around mid12400s lacks playthrou..
Neutral,GBPUSD,. gbpud struggles amid bartpy price action : key levels to watch.
Positive,EURUSD,..rusd in single day. past 10000 as european markets draw to a close.
Positive,USDJPY,..jpy falls to fresh daily high further beyond mid13400s despite weaker..
Positive,USDJPY,..jpy gains ahead of boj interest - rate decision : key levels and market sentiment.
Negative,AUDUSD,. idsd holds below 06700 at weekly low..
Positive,EURUSD,. eurusd keeps the buyers in..
Positive,GBPUSD,. gbpusd rallies on soft us dollar eyes on 125..
Neutral,GBPUSD,. gbpfd ticks above swing area. can it stay above?.
Neutral,USDJPY,..jpy price analysis clustered market front side of bull trend but bears..
Positive,AUDUSD,. audusd bulls attack 06700 amid holiday in australia a..
Positive,EURUSD,. eurusd looks ytd high as us dollar weakens on lower us treasury..
Positive,GBPUSD,. gbpad price analysis renews oneweek high around 12500 within bullish..
Negative,USDJPY,..jpy corrects sharply to near 13400 despite investors antici expecting a dovish boj..
Neutral,AUDUSD,) audusd price analysis where are the bears hibernating.
Positive,EURUSD,. eurusd price analysis marches towards x00 key psychological..
Neutral,USDJPY,. japanese trade minister want to provide support for nextgen chips as needed.
Neutral,USDJPY,. boj ueda it is reasonable to continue easing with y..
Positive,GBPUSD,. gbpad aims to shift auction to 12500 as usd index eyes more downside.
Neutral,USDJPY,..s cabinet office maintains moderate view on economic..
Neutral,USDJPY,..jpy price analysis yen buyers lurk around 13400 support based on boj..
Negative,USDJPY,. boj governor ueda trend inflation remains below 2 but slowly..
Negative,AUDUSD,. audd justes risk barometer status to drop towards sm0. sour..
Positive,EURUSD,. eurusd faces barricades above 1101 upside looks likely ahead of us..
Neutral,EURUSD,..b's lane beyond may 4 and further rate hikes will depend on data.
Positive,EURUSD,. eurusd could climb towards the 111m level. u..
Positive,GBPUSD,. gbpusd further gains seen above 1250. u..
Neutral,GBPUSD,. uk pm sunak wants eu deal on passport checks after postbrexit chaos on bloomberg.
Negative,GBPUSD,. gbpust corrects further to 12480 as fed policy comes into picture ahead of us..
Neutral,EURUSD,. eurusd price analysis drops toward 11000 amid overbought rsi.
Negative,USDJPY,..jpa has signs of weakness above 13400 ahead of us gdp boj policy in..
Neutral,USDJPY,. usdj : dwindling bets for further upside down uob.
Neutral,EURUSD,..b's villes inflation will probably come down towards 2 at the end of 2024.
Negative,AUDUSD,. autd price analysis indicates bearish consolidation below 0670..
Positive,EURUSD,. euro makes a date with 11075 yeartodate highs on confidenceboost of bank..
Neutral,GBPUSD,..pusd technical analysis - further upside..
Neutral,EURUSD,. eurusd technical analysis.
Negative,EURUSD,..rusd trims gains and returns to 110k as us dollar recovers.
Neutral,USDJPY,. boj preview new face new game changes tds.
Neutral,EURUSD,. eurozone gdp is a surprise in the way. rabobank.
Neutral,GBPUSD,. boe's broadbent had we seen inflation shocks coming boe would have tightened policy..
Neutral,AUDUSD,. thedusd technical analysis.
Neutral,EURUSD,. eurusd price analysis attention remains on the 2023..
Negative,AUDUSD,..dd transit to the subide and approaches a floor area. what next?.
Negative,GBPUSD,. gbpd falls from weekly high as risk aversion takes..
Negative,AUDUSD,. audsd extends slide above 06630 hits twoweek low..
Negative,EURUSD,..rusd plum plunges below 10000. fasteleing us economy and banking crisis..
Negative,USDJPY,..jpy price analysis bears in the market eye the 13320s.
Neutral,USDJPY,..x today risk aversion lifts the yen and the us..
Neutral,AUDUSD,. audud defends 06600 ahead of australian inflation and us durable goods orders..
Negative,GBPUSD,. gbpusd price analysis is stacked up to test trendline..
Negative,EURUSD,..rusd burnss its wounds near 1090 after banking woes. the biggest daily fall in six..
Negative,USDJPY,..jpy bears carving out a right front side of bearish..
Neutral,AUDUSD,. audud price analysis correct - curve seeks acceptance from 06655 hurdle and australian..
Negative,EURUSD,. eurusd faces resistance around 10980 after a lessconfident recovery us gdp..
Neutral,GBPUSD,..fod bears could be looking to guard the 12420s.
Neutral,USDJPY,..j kazuo ueda risk of rise in inflation caused by loss of market trust in japans finances low for now.
Negative,AUDUSD,.. australia q1 rba trimmed mean cpi 12 qoq misses expectations.
Neutral,AUDUSD,. audisd whipsaws 20 pips above 06600 on easy australia. us durable goods orders..
Negative,USDJPY,..jpy price analysis yen bears appear well set to refresh monthly low around 132..
Neutral,EURUSD,. eurusd price analysis dribbles within key sma envelope below 11000 ahead of us durable goods..
Neutral,GBPUSD,. gbfod stays defensive around 12400 amid banking turbulence.data..
Negative,AUDUSD,. audsd price analysis is far from 06600 as soft australian currency cements steady rba policy.
Neutral,EURUSD,. eurusd looks sidelined for the time being. u..
Negative,USDJPY,. usdjpy trades with modest losses around mid13300s amid a..
Negative,GBPUSD,. gbpusd extra losses are probable below 1230. uob.
Negative,AUDUSD,. autd downward bias takes up pace at u..
Positive,EURUSD,. thebrod gainss the smile and the 11000..
Positive,EURUSD,.. back above 11000 as market sentiment recover..
Positive,GBPUSD,. gbzd climbs up above mid12400s refreshs daily high amid broadbased usd..
Neutral,USDJPY,..'s excurrent the bank of japan has no reason to move this..
Neutral,USDJPY,..jpy technical analysis.
Neutral,USDJPY,. usdj has scope for further consolidation near term. uob.
Negative,AUDUSD,. audsd sticks to softer australian cpid losses flirts with 06600 despite weaker..
Neutral,EURUSD,.. are the us durable goods orders and how could they affect eusco?.
Positive,EURUSD,the.rusd price analysis next to the upside comes the ytd high.
Positive,GBPUSD,". gbzd returns to gains near daily peak, above mid12400s postus data."
Neutral,AUDUSD,. rba data suggests it will not raise the key rate next week. bankmerz..
Negative,USDJPY,..jpy drops to 13300 neighbourhood over one week low in heavy usd..
Positive,EURUSD,. the eurus. hits a new 13mont. high approaches +..
Positive,GBPUSD,..mud bulls see out shorts to test 125s.
Neutral,AUDUSD,. audsd price analysis bulls could be lurking at the fresh cycle lows but continuaiton not off the table.
Neutral,EURUSD,. forex today a mixed us dollar and cautious markets before crucial us data.
Neutral,EURUSD,. eurus market finds a cushion around 11040 market mood turns cautious ahead of us..
Negative,USDJPY,).jpy price analysis bulls taking a rein check as bears eye 13280s.
Negative,AUDUSD,. audus lures bears despite recent moves near 06600 banking woes us q. gdp..
Negative,GBPUSD,. gbpusd price analysis continuous failure of stability above 12500 makes pound sterling..
Neutral,USDJPY,..boj dep gov wakatabe will be surprised if boj changes ycc..
Negative,EURUSD,. eurusd price analysis bearish rsi divergence prods euro - us gdp 11090 ;.
Positive,GBPUSD,..hsd spikes to a new high. looks toward the highs for the year..
Neutral,USDJPY,..jpy trims losses to 13350 amid dicey yields defensive boj talks us gdp..
Negative,AUDUSD,. audisd price analysis retreats to 06600 as rba to retain neutral policy..
Negative,GBPUSD,. gbpusd bulls take a breathes below 12500 as us q1 gdp looms.
Positive,EURUSD,. eurusd marches towards 13month high near 11100 amid hawkish ecb bets ahead of us..
Neutral,AUDUSD,. audud cls to modest gains around 06600 amid banking fears. ahead of us..
Negative,EURUSD,. eurusd dwindling bets for a sustained move above n0. u..
Neutral,USDJPY,. usdjpy price analysis yen pair stays defensive below 13400 within bullish..
Positive,EURUSD,. eurusd price analysis aims to capture 11100 as usd index eyes more downside.
Neutral,EURUSD,.. gdp q1 preview first estimate effect on eurus..
Neutral,GBPUSD,. gbpusd price analysis needs acceptance above 12500 for a fresh rally.
Positive,GBPUSD,. gbpusd extra gains look likely above 12550. u..
Neutral,USDJPY,. usdjpy clings to the side market trading of u..
Positive,EURUSD,. eurusd extends the recovery to the 1101 region ahead of data.
Neutral,EURUSD,.. trades in mid 110s ahead of us gdp..
Positive,AUDUSD,. audisd stands to modest intraday gains above 06600 mark us gdp..
Neutral,GBPUSD,. gbpusd remains in in a range far above mid.400s ahead of us..
Positive,EURUSD,. eurusd price analysis a test of 11100 emerges on the..
Positive,USDJPY,..jpy drops to 13400 mark. daily high postus gdp report.
Positive,EURUSD,. eurusd : 11000 postus gdp figures.
Negative,GBPUSD,. gbzd is near daily low around mid t400s as fresh usd..
Negative,AUDUSD,. audisd erases gains as us data slides toward 0660..
Negative,EURUSD,..rusd price analysis bears are moving in and eye a run on..
Neutral,USDJPY,..x today market market improves uedas first boj..
Positive,USDJPY,. usdj had rose to a two day high above 13400 amidst mixed us data ahead of boj's decision.
Neutral,AUDUSD,. thedsd faces barricades above 06630 as focus shifts to rba monetary policy.
Neutral,EURUSD,. eurusd stays low above 11000 as eurozone the fed's favorite inflation lo..
Positive,GBPUSD,. gbpad price analysis cable buyers approach 12520 hurdle amid threeday uptrend.
Negative,USDJPY,. usdjpy eases below 13400 on upbeat japan inflation ueda's first boj..
Neutral,EURUSD,. eurusd price analysis extends recovery above euro30 ahead of key eurozone data.
Neutral,AUDUSD,. audusd price analysis marches towards previous support near 0665..
Positive,GBPUSD,. gbpusd bulls reaching for a close above 125..
Neutral,USDJPY,.. is the boj and how would it affect usdj?.
Neutral,EURUSD,. eurusd prints predata anxiety near 11030 as eurozone gdp us inflation clues loom.
Positive,USDJPY,.. boj steers policy on a steady course usdjpy..
Negative,USDJPY,. boj quarterly outlook report uncertainty on japans economy a high.
Positive,USDJPY,..jpy jumps 100 pips to mid13400s on boj.. governor ueda..
Neutral,AUDUSD,. rba to hold cash rate at 360 in may but may need to raise again. reuters..
Positive,GBPUSD,. gbpad price analysis gathers strength for a sustainable move above 125..
Negative,EURUSD,. eurusd a move above 11120 appears not favoured by u..
Negative,AUDUSD,. audd drops sharply towards 06600 as usd index regains strength rbafed policy in..
Positive,GBPUSD,. gbpud extra advance appears on the cards above 12550. u..
Positive,USDJPY,". usdj : price analysis, based by continuation of boj's ultra dovish policy. 135.."
Positive,USDJPY,..j's u. recommended to continue monetary easing to achieve the inflation target with wage growth.
Neutral,USDJPY,..j's ueda todays policy decision took into account financial turmoil since..
Positive,USDJPY,..jpy builds on bojinspired rally jumps to its highest level since march..
Negative,AUDUSD,. autd downward momentum picks up pace at u..
Negative,EURUSD,) german gross domestic product arrives at 0 qoq in q 1 vs 02..
Neutral,EURUSD,). coils in a triangle in the 110s ahead of eurozone gdp data policy decisions.
Negative,EURUSD,..hdd breaks below 11000 to print 2day lows focus remains on key data.
Negative,AUDUSD,..a - an extra pause. tds.
Negative,USDJPY,..jp moves to a new session low and looks toward the 100 day..
Neutral,USDJPY,. usdjpy faces extra range bound near term. u..
Neutral,EURUSD,the.zone preliminary gdp expands by 01 qoq in q 1 vs 02..
Neutral,EURUSD,. ecb preview the art of compromise - dans..
Negative,AUDUSD,. thedust drops to its lowest level since march 10 further below s600 ahead of us pc..
Neutral,EURUSD,. eurusd technical analysis.
Neutral,EURUSD,.. is the us march pce price index and how would it affect euru?.
Negative,EURUSD,.. annual hicp inflation falls to 76 in april vs 78..
